Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.36824347734504,-1.56443185598212,2.07834964462405,-48.8272366456979,19.278307951327
2,794330,0.976964142362829,-1.42549791236791,1.728150234681,-55.5752330922356,22.6721949427582
3,630960,0.709400331218343,-1.23954461691088,1.42818755324552,-60.2171823887093,25.97872593441
4,501190,0.51115138057456,-1.05265073498999,1.17019199439162,-64.0994870151986,29.2866289260584
5,398110,0.372731373916641,-0.877636704524758,0.953506613627228,-66.9891202611464,32.4895799179717
6,316230,0.277468572319947,-0.722843067663208,0.774267982738552,-69.0003374334434,36.9269759067683
7,251190,0.211542432698117,-0.589050095593593,0.62588354823454,-70.2455336841908,38.5513419026672
8,199530,0.169465066871946,-0.479606852782647,0.508666041844734,-70.5395649881097,40.36825089808
9,158490,0.139426955200001,-0.388894820586195,0.413133219815487,-70.2761777128574,42.1864208934895
10,125890,0.118578078563483,-0.314954884084598,0.336537278357911,-69.369032109677,43.8917158891841
11,100000,0.103854056500986,-0.254742603931835,0.275098999107016,-67.8201462524889,47.2215178807771
12,79433,0.0932928246601752,-0.205921791534659,0.226069315392244,-65.627106583302,48.8461098766754
13,63096,0.0856736667163743,-0.166319952901434,0.187089026673837,-62.7463892391793,50.643299872138
14,50119,0.0800367282179698,-0.134202218530119,0.156256562493365,-59.1886141574926,52.4558718675617
15,39811,0.0758901625485972,-0.108126316453337,0.132100783803199,-54.9362964249611,54.1955468631694
16,31623,0.0729163194290012,-0.0869750823223565,0.113496495910899,-50.0249201216548,55.9228548588084
17,25119,0.0706931993341311,-0.06987617571967,0.0993992372470805,-44.6669866553324,57.6400338544729
18,19953,0.0688215043249795,-0.0558024943710107,0.0886020193651355,-39.0361531549219,59.4861738498118
19,15849,0.0676263837845631,-0.044650138601719,0.081036798190265,-33.4346807394797,61.2285508454128
20,12589,0.0668169819177697,-0.0356518753378518,0.0757335149567567,-28.0832687963951,63.0614468407852
21,10000,0.0662876175879979,-0.0284034355152526,0.0721165958331489,-23.1945424095376,66.1763118329209
22,7943.3,0.0659792608382834,-0.0225442808043171,0.0697245111689579,-18.8646503033044,67.8173008287778
23,6309.6,0.0657819134508919,-0.0178276765764351,0.068154869153822,-15.1635956893326,69.5493588244047
