Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.23704717206332,-1.42028217026255,1.88347740869795,-48.9445618822317,19.0050229520169
2,794330,0.882064714643964,-1.29499367770583,1.56685889157831,-55.7398771492571,20.8386559473875
3,630960,0.639923442312179,-1.12415765090599,1.29353486080242,-60.3494313554349,22.6699599427639
4,501190,0.461233980566904,-0.954981223704197,1.06053096251696,-64.2205252378802,26.0840709341441
5,398110,0.336058875643441,-0.79782554944618,0.865714257274207,-67.1582742037798,30.7199509224396
6,316230,0.249475567320083,-0.657765417824917,0.703486605114884,-69.2293947648412,33.8239319146028
7,251190,0.189398045335342,-0.537830493647034,0.5702045768612,-70.6001866770429,36.9588769066878
8,199530,0.150558669625519,-0.439373156076452,0.464453101270718,-71.085105955567,38.6836939023331
9,158490,0.12245341581966,-0.358169834475462,0.378524067100207,-71.1251365229916,40.5002918977466
10,125890,0.102497222042289,-0.291919008127373,0.309390348641414,-70.6530467303414,42.24563889334
11,100000,0.0877054501635414,-0.237779250564289,0.253438785483407,-69.7533822809321,45.5235308850641
12,79433,0.0766929232041862,-0.193960495202109,0.208572477016145,-68.4259166879013,47.1526178809511
13,63096,0.0681460288670624,-0.158071182664692,0.172134772894279,-66.6786546504415,48.995198876299
14,50119,0.0615101814221233,-0.128711097923867,0.142653598438139,-64.4571733745536,50.8368028716494
15,39811,0.0563734410949122,-0.104587512215381,0.118812930997783,-61.6750048468413,52.6594768670476
16,31623,0.0524380284361287,-0.0847055215271929,0.0996231509412445,-58.2398954437546,54.4110278626254
17,25119,0.0492706689332644,-0.0681360464495712,0.0840840034900186,-54.1284834289264,56.1324208582793
18,19953,0.0471203997686949,-0.0548229892827156,0.0722903328824426,-49.3209167904881,57.9385018537193
19,15849,0.0456217743510322,-0.0439983821688862,0.0633814162701959,-43.9622496447125,59.7624228491144
20,12589,0.044567117705005,-0.0351687984535935,0.0567721090430966,-38.2776728799234,61.5129668446947
21,10000,0.0436983070942851,-0.0279328308558464,0.0518631379934513,-32.5875263752717,64.6477268367802
22,7943.3,0.043224989322058,-0.0220653080679716,0.048531201530835,-27.0432085980649,66.2732768326761
23,6309.6,0.0430111922571436,-0.0173371927765615,0.0463739249228769,-21.9536545306064,68.0240678282557
24,5011.9,0.0426858993659597,-0.0134273109964757,0.0447479461570798,-17.4615320908441,69.8536238236366
25,3981.1,0.0426944237862348,-0.0103336855545111,0.0439271997693698,-13.606107319162,71.5759128192882
26,3162.3,0.0428128805940531,-0.00783292124909895,0.0435235269716878,-10.3680018233286,73.2839048149759
27,2511.9,0.0429680456711715,-0.00580115402285616,0.0433578866735543,-7.68906046726494,75.0196228105937
28,1995.3,0.0431761038886442,-0.00414312840445272,0.0433744332525369,-5.48125309748291,76.7517958062203
29,1584.9,0.0433682087175601,-0.00278084869370201,0.0434572738080418,-3.66888711109109,78.4323748019773
30,1258.9,0.0436625607247071,-0.00167852652789795,0.0436948127395414,-2.20154634119452,80.195842797525
31,1000,0.0440854131404734,-0.00071255758589903,0.04409117133939,-0.925997619630979,81.9127817931901
32,794.33,0.0444196764437608,-6.17712276164776E-06,0.0444196768732647,-0.00796770912870715,83.7453057885634
33,630.96,0.0446253106747512,0.000551092869850149,0.0446287133600025,0.70752875644777,85.4496607842603
34,501.19,0.0450031289412055,0.00100001195995951,0.0450142381743691,1.2729567582971,87.2187097797939
35,398.11,0.0454180353692083,0.00135209965116422,0.0454381569857904,1.70519770346757,88.9191507755007
36,316.23,0.0458302927203447,0.00162731841008763,0.0458591746114154,2.03357466115742,90.640801771154
37,251.19,0.0462306321201508,0.00183472058932935,0.0462670243896193,2.27266218865488,92.417994766667
38,199.53,0.0466381764735715,0.00199465701203946,0.0466808114901152,2.44897701850033,94.1400277623193
39,158.49,0.0470447403011065,0.0021222188635059,0.0470925833109968,2.58289882479343,95.8966897578841
40,125.89,0.0474070844313746,0.00221754017653751,0.0474589205389043,2.67814711861906,97.6778767533871
41,100,0.0477955578702874,0.00229736313926239,0.0478507390697953,2.75188713526015,99.4921207488065
42,79.433,0.0481424953594311,0.00235959977694987,0.0482002860006061,2.8059826462038,101.304043744232
43,63.096,0.0485027930526159,0.00242015129690408,0.0485631348473798,2.85652720495301,103.162037739541
44,50.119,0.0488155549873438,0.00248797738374332,0.0488789161109819,2.91766353333791,105.26549873423
45,39.811,0.0491222730054677,0.00257225359665926,0.0491895740354521,2.99751582024285,107.212157729315
46,31.623,0.0494268470601062,0.00269296180977408,0.0495001540766494,3.11860764415718,109.245755724181
47,25.119,0.049731658550032,0.00285753585193839,0.0498136866060131,3.28854744303457,111.31745271895
48,19.953,0.0500491108006115,0.00306757431555895,0.0501430304639973,3.50734442220837,113.628174713116
49,15.849,0.0504014724128831,0.00335217601505883,0.0505128251578007,3.80510879070854,115.974582707192
50,12.589,0.0508128927348302,0.00370876568563567,0.0509480618963303,4.17454042552395,118.453957700933
51,10,0.0512868367888564,0.00413553820306917,0.0514533021684308,4.61009765144377,121.138551694155
52,7.9433,0.0518736345132631,0.00461858787204015,0.052078837463478,5.08793430303424,123.848932687312
53,6.3096,0.0525392496886602,0.00513604383701719,0.0527896931620476,5.58328461956776,126.685963680149
54,5.0119,0.0533699384924556,0.00566529718958824,0.0536697859780981,6.05933980415437,129.530266672968
55,3.9811,0.0543347015843124,0.00616104164465924,0.0546828879120654,6.46916872390697,132.40481666571
56,3.1623,0.0554474681424138,0.00658159661510141,0.0558367185408303,6.76931680463296,135.345791658285
57,2.5119,0.0566364186474355,0.00688682682595449,0.0570535914815033,6.93296694723491,138.390583650597
58,1.9953,0.0578629467778294,0.00705305142981432,0.0582912184148309,6.94963474621212,141.462183642842
59,1.5849,0.0591403953790261,0.00707728362871203,0.0595623564774663,6.82408812725842,144.696494634676
60,1.2589,0.060301627075089,0.00698144548180015,0.0607044216587099,6.60404025697083,147.996349626345
61,1,0.0614383086355867,0.00682325929013283,0.0618160386577949,6.33722596991403,151.669212617072
62,0.79433,0.0624504214934566,0.00662662013757671,0.0628010130424512,6.05699582748048,155.337332607811
63,0.63096,0.0633196730289188,0.00644427072518768,0.06364675653691,5.81118871377782,159.212824598026
64,0.50119,0.0641175989995958,0.00629782850534298,0.0644261526505787,5.60977390525064,163.464082587293
65,0.39811,0.0648814912761811,0.00628039955397344,0.0651847476698247,5.52889234315299,168.139477575489
66,0.31623,0.0655817088871218,0.00633528075746775,0.0658869966141357,5.51772792751202,173.340662562357
67,0.25119,0.066290291309471,0.00643268864281667,0.0666016681853387,5.54252424914939,179.185996547599
68,0.19953,0.0669525262434238,0.00672527893513915,0.0672894504891501,5.7360331285193,185.789428530927
69,0.15849,0.0676668929180083,0.00712379979064855,0.0680408474420656,6.00981741292233,193.484349511499
70,0.12589,0.0684150033050028,0.00757534205523925,0.0688331205487404,6.31841320425216,202.440279488887
71,0.1,0.0691112504202666,0.00813680133753447,0.0695885944006581,6.71479703592492,213.056881462083
