Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.29733307489618,-1.49191276400976,1.97708796026753,-48.9905276041251,14.4147699636062
2,794330,0.925979922473563,-1.35976615177532,1.6451148301374,-55.7457363393685,16.2664009589313
3,630960,0.671834428044214,-1.17925735085268,1.35720646853955,-60.3294127123743,19.6815809503088
4,501190,0.48445851282381,-0.999999017744627,1.1111696927732,-64.1517148558741,23.0421549418242
5,398110,0.353626352096747,-0.834081497401174,0.905948972737558,-67.0244647361348,27.6861779300991
6,316230,0.263453194133702,-0.687246483998787,0.73601312166832,-69.0258735632888,30.8975959219911
7,251190,0.200759491642768,-0.560715929513867,0.595572604386117,-70.3005323084627,34.0149919141204
8,199530,0.16056156642316,-0.456630136248957,0.484036256847563,-70.6271632048748,35.7828889096569
9,158490,0.13173914402472,-0.37056229736048,0.393283127394811,-70.4291170465654,37.6104369050428
10,125890,0.111737989996717,-0.300351906915983,0.320463174790137,-69.5936124482716,39.3202989007258
11,100000,0.0974788407983286,-0.243015848972586,0.261837406142156,-68.1432261325729,42.5852738924825
12,79433,0.0873898807866795,-0.196673935275956,0.215215306334938,-66.0425608127118,44.2190608883576
13,63096,0.0799516307508972,-0.158912654404784,0.177891806977449,-63.2922620986919,45.9494668839887
14,50119,0.0745136069080828,-0.128422463478294,0.148474262888509,-59.8767271113358,47.7555948794287
15,39811,0.0704195527997434,-0.103565593723061,0.125238754464128,-55.7862086987454,49.5072428750062
16,31623,0.0674010073890582,-0.0834037528218325,0.107233771647859,-51.0573106848468,51.3184728704333
17,25119,0.0648698455853421,-0.0667738259944109,0.0930958683519199,-45.8286189134,53.0699068660114
18,19953,0.0632623170280771,-0.0535451879114369,0.0828806847476058,-40.2445566521035,54.9069338613733
19,15849,0.0620837586045681,-0.0428008962159686,0.0754076242787186,-34.5826004748385,56.6424428569916
20,12589,0.0612714138554147,-0.0341064555077025,0.0701244355637918,-29.1023017216313,58.4696258523784
21,10000,0.0606782314917081,-0.0270519848920578,0.0664353645550428,-24.0285961895069,61.6160418444344
22,7943.3,0.0603232822361281,-0.0213175304586944,0.0639791800869387,-19.4628023233813,63.2352498403463
23,6309.6,0.060231822824997,-0.0167000709478935,0.0625041186681846,-15.4967388622644,64.9552688360037
24,5011.9,0.0598422866772806,-0.012859386708906,0.0612083580999771,-12.1277440570272,66.700669831597
25,3981.1,0.0599385700404338,-0.00981983900619557,0.0607376441475926,-9.30420943860715,68.4373268272124
26,3162.3,0.0600873628872349,-0.00733567721254173,0.0605334893997435,-6.96042694353943,70.1380278229185
27,2511.9,0.060207145457451,-0.00527437813739611,0.060437731830959,-5.00654987685801,71.8575618185771
28,1995.3,0.0604031644480201,-0.00357221539622394,0.0605087018384264,-3.3845040010788,73.5788958142311
29,1584.9,0.0606378076361715,-0.0021556995357361,0.0606761135489882,-2.036031586632,75.1752298102008
30,1258.9,0.0609119150678733,-0.000966919580032046,0.0609195890556565,-0.909440432670062,76.8815788058927
31,1000,0.0614089239361711,7.65098157258579E-05,0.0614089715982148,0.0713851828559859,78.596060801564
32,794.33,0.0618664230778196,0.00092819488342875,0.0618733856370038,0.859556071756393,80.4486807968866
33,630.96,0.0620767737768814,0.00164559589957329,0.0620985815330012,1.51850068269447,82.162755792559
34,501.19,0.062609480730345,0.00228463177494438,0.0626511501863336,2.08980659378623,83.8893097881999
35,398.11,0.0631609540128978,0.00284099789450243,0.063224816178902,2.5754446906514,85.5995627838819
36,316.23,0.0637961053703388,0.00333921302645843,0.063883436069606,2.99623899800529,87.3575277794434
