Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.23726071429281,-1.22197477487002,1.73897568285212,-44.6438695929044,18.9465679521645
2,794330,0.918697008069089,-1.14427690280655,1.46743784295337,-51.2403259108651,22.277394943755
3,630960,0.691402131067763,-1.01340466724572,1.22679498142128,-55.6959744656623,25.6046519353545
4,501190,0.517098422698042,-0.87620548969289,1.01741183348964,-59.4527413837995,28.9606689268813
5,398110,0.39121027914187,-0.743674914929988,0.840296293935885,-62.2533804934441,33.5984079151722
6,316230,0.300996757497833,-0.621400159864978,0.690461589593824,-64.1551602405138,38.0271969039906
7,251190,0.236353883823247,-0.514417322416418,0.566116896056292,-65.3231387674527,41.1428868961242
8,199530,0.193041294714217,-0.42418987736616,0.466049346662839,-65.5305594994041,42.8753458917502
9,158490,0.160868884379309,-0.348679814899165,0.384000535519886,-65.2330232482009,44.6986048871469
10,125890,0.137440727214035,-0.285878715961748,0.317201188107895,-64.3233411120716,46.4461808827347
11,100000,0.120108991110413,-0.233742026374296,0.262795556733982,-62.8035085426363,49.6667708746035
12,79433,0.107467376327961,-0.190798287329589,0.218982244537588,-60.6095586873345,51.2955108704913
13,63096,0.098135236274818,-0.155427356334048,0.183815635068689,-57.7321063800084,53.153214865801
14,50119,0.091156754010762,-0.12628616382599,0.155748993498075,-54.1772344788487,54.9791778611909
15,39811,0.0859995426618671,-0.102468681296069,0.133775005081688,-49.9940581788813,56.7996178565948
16,31623,0.0821695271196518,-0.0830922102516284,0.116859516478411,-45.3198883228214,58.6207258519969
17,25119,0.0792647658651088,-0.0672997688930352,0.103981546443138,-40.3329299245031,60.3713148475771
18,19953,0.076622317117089,-0.0541856341084532,0.0938459504940246,-35.2671184907654,62.2042208429494
19,15849,0.074864903398533,-0.0436719381315165,0.0866717482287895,-30.2568622742783,63.9363328385763
20,12589,0.0735073076342473,-0.0350302331396626,0.0814275230462955,-25.480341176869,65.7263698340569
21,10000,0.0727045530446699,-0.0279410331335017,0.0778887242544943,-21.0222301798978,68.8719348261151
22,7943.3,0.0720179115851793,-0.022050404932773,0.075317992185068,-17.0235119242168,70.5181698219587
23,6309.6,0.0716416609110491,-0.0172037839837264,0.0736783398391444,-13.5031327252444,72.2852048174974
24,5011.9,0.0711050127034802,-0.0131426352728827,0.072309416354152,-10.4720303643259,74.0102398131421
25,3981.1,0.0711292692454203,-0.00987557946719404,0.0718115590500607,-7.90440802968284,75.7154518088369
26,3162.3,0.0712412099706371,-0.00716359651259837,0.071600468665196,-5.74202527478867,77.4291298045102
27,2511.9,0.071423217188076,-0.00491122156838364,0.0715918714016391,-3.93359520422466,79.2006038000377
28,1995.3,0.0717297742230696,-0.00304520803536945,0.0717943855887855,-2.4309690228941,80.9129637957144
29,1584.9,0.0720977270054277,-0.00149069899679491,0.0721131362710583,-1.18448384792325,82.5888307914832
30,1258.9,0.0725492278527664,-0.000184830963407337,0.0725494632958622,-0.145970005860271,84.3254147870988
31,1000,0.0733214382691629,0.000959629287919831,0.0733277178032216,0.749843023976289,86.0556817827303
32,794.33,0.0739020455862619,0.00190398988511334,0.0739265684264902,1.47582460602863,87.8771247781316
33,630.96,0.0745645281693245,0.00272384047904952,0.0746142624976572,2.09208323740579,89.5933327737986
34,501.19,0.0749005825609981,0.00342240895790152,0.0749787313246365,2.61617849086223,91.3681867693175
35,398.11,0.0756437864512863,0.0040636972721299,0.0757528617558922,3.07505898232954,93.096092764955
36,316.23,0.0764716735242387,0.00464206216113244,0.076612437584935,3.47376473294341,94.8415347605481
37,251.19,0.0772914090181275,0.00516457507588169,0.077463764068898,3.82279401127262,96.6034597560997
38,199.53,0.0782938709803016,0.00564848418839264,0.0784973605078963,4.12643490656256,98.3620637516597
39,158.49,0.0792279116516729,0.00607743336107198,0.0794606643625861,4.38646809639619,100.124275747211
40,125.89,0.0802453109669763,0.00646738901878316,0.0805055094568503,4.60780674572393,101.919243742679
41,100,0.0813472051081181,0.00683214206354668,0.0816336079325097,4.80085774591701,103.721438738129
42,79.433,0.0824074947617002,0.0071366539200656,0.0827159417650215,4.94957999298085,105.549062733514
43,63.096,0.0835373866300702,0.00742257955775801,0.083866498986622,5.0775895650734,107.412569728809
44,50.119,0.0846818574253026,0.00768613443494402,0.0850299573065359,5.18623103820964,109.485790723575
45,39.811,0.0858403169606072,0.00794088372132548,0.086206830646841,5.28525418018002,111.460920718588
46,31.623,0.0870138764081433,0.00819283429853373,0.0873987255136759,5.37885470724033,113.50412871343
47,25.119,0.0881809835458503,0.00844441354304804,0.088584389026507,5.47009513538534,115.587728708169
48,19.953,0.0893657713718356,0.0086891684793212,0.0897872081186692,5.55349793754711,117.911995702301
49,15.849,0.0906501221160311,0.00895721003258712,0.0910915816704224,5.64312303930109,120.253965696388
50,12.589,0.0918548311508519,0.00924832146629457,0.0923192366503073,5.74939875111561,122.723889690152
51,10,0.0930571911070973,0.0095745627495147,0.0935484530528817,5.87443530779018,125.434514683308
52,7.9433,0.0942300065517179,0.00998256565649046,0.0947572992007632,6.04726150570503,128.145185676465
53,6.3096,0.0953432396925021,0.0104943332936003,0.0959190512168416,6.2812035620467,130.993071669274
54,5.0119,0.0963947040936448,0.0111833506580716,0.0970412608597123,6.61765575155143,133.781842662233
55,3.9811,0.0975035022901268,0.0121115599441656,0.0982528515775592,7.08082083333545,136.652730654985
56,3.1623,0.0985518937082074,0.0133574757812758,0.0994529934829575,7.71869001015461,139.599801647544
57,2.5119,0.0996106253717461,0.0149725950101885,0.100729614753008,8.54820424040967,142.631971639889
58,1.9953,0.101255308527563,0.0171640471018353,0.102699766396648,9.62089962977283,145.718389632096
59,1.5849,0.102599525920041,0.0197891721056727,0.104490545273939,10.9170242327589,148.90138962406
60,1.2589,0.104155384275944,0.0231368322040844,0.106694222327686,12.5241899755931,152.202027615727
61,1,0.106046559897896,0.0272214198173596,0.109484604228407,14.3965993662964,155.886052606426
62,0.79433,0.108652767496675,0.0320438613566773,0.113279446217452,16.4318362034427,159.521014597248
63,0.63096,0.111685699891612,0.0378497571059916,0.117924974764728,18.7212773973434,163.406539587438
