Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.36387842470824,-1.58247406648527,2.08911189946423,-49.2431117761523,19.0475529519096
2,794330,0.968316704238132,-1.44029968669236,1.73554038477723,-56.0869711779962,20.880834947281
3,630960,0.699163674616638,-1.25338683451319,1.43520326115656,-60.8463677491091,24.3139259386132
4,501190,0.499117770045827,-1.06547532592876,1.17658668126854,-64.8994418698218,27.6298379302414
5,398110,0.358626454972648,-0.887993462501588,0.957677045590948,-68.0081094940801,30.8594049220875
6,316230,0.26231688689801,-0.731542058567733,0.777151164578282,-70.2731445536875,33.9661539142437
7,251190,0.195611396175185,-0.596532562308595,0.627785724756515,-71.8449569411897,37.0957799063422
8,199530,0.152992513524716,-0.485859413521051,0.509378129587078,-72.5212804253115,38.8208089019869
9,158490,0.122569914504127,-0.394174447422337,0.412791568400148,-72.7267367870188,40.6328708974119
10,125890,0.101456848648316,-0.319507776016477,0.335229341007977,-72.3832178414854,42.3382778931061
11,100000,0.0864726870851121,-0.258896228969723,0.272955642891777,-71.5304124816526,45.6513958847413
12,79433,0.0756896415653719,-0.209788504808646,0.223024973019036,-70.1610518749584,47.2732398806465
13,63096,0.0676391701115873,-0.16985410982064,0.182826354654755,-68.2866026970205,49.1199078759842
14,50119,0.0616196691026187,-0.137623177412266,0.150788337020356,-65.8799355954942,50.9511298713608
15,39811,0.0570364880038242,-0.111399362536503,0.12515182354784,-62.8875477100563,52.7620928667885
16,31623,0.0535288525326525,-0.0899789809830079,0.104697445394828,-59.2514183661788,54.5673788622306
17,25119,0.0506590447108151,-0.0722836817938611,0.0882681679015064,-54.9758249061686,56.3358828577656
18,19953,0.04871301637101,-0.0581672935539509,0.0758708903556153,-50.0550372087727,58.1637248531507
19,15849,0.0473125247634306,-0.0467126381475305,0.0664871834430693,-44.6344541836952,59.8908178487902
20,12589,0.0463105674024576,-0.0374257447765539,0.0595428839175372,-38.9433055318985,61.6074518444561
21,10000,0.0454240468451952,-0.029848189580683,0.0543530905564612,-33.3089584750522,64.7251578365847
22,7943.3,0.0449597321318541,-0.0237369735247459,0.0508411391048879,-27.8322949499049,66.3548148324702
23,6309.6,0.044712369884287,-0.018832926045005,0.0485167509638261,-22.8409084341471,68.0662918281491
24,5011.9,0.0443335422277205,-0.0148034145784214,0.0467397480698997,-18.4646819224539,69.8065748237553
25,3981.1,0.0442697501805631,-0.0116393649463222,0.0457742896985102,-14.7307687972569,71.5180918194342
26,3162.3,0.0442710569465378,-0.0091028685211345,0.0451972200304029,-11.6190312362953,73.2332548151038
