Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.185158821408,-1.32011767251415,1.7740665436351,-48.0835341807036,14.3518079637652
2,794330,0.851338134319185,-1.20892924859889,1.47860966690467,-54.8464715786876,16.1883299591284
3,630960,0.62217491318242,-1.05158450622863,1.22185580013914,-59.3891195466255,19.639921950414
4,501190,0.452387896264561,-0.894657752207082,1.00253044954799,-63.1763432149942,22.9588539420345
5,398110,0.333448563808726,-0.748802984180399,0.81969131618163,-65.9961689138991,27.5823579303612
6,316230,0.250676541649934,-0.618711169647134,0.667564408862318,-67.9442152875258,30.7549019223513
7,251190,0.192878443285321,-0.507196241952289,0.542632584475622,-69.1790085361387,33.8948259144238
8,199530,0.155231916757457,-0.415193496778281,0.443263564651067,-69.5003112441905,35.6272819100498
9,158490,0.12769517860597,-0.339020873519561,0.362272288922541,-69.3606780382781,37.4813419053687
10,125890,0.108005637493329,-0.276659987871982,0.296994893255197,-68.674761649184,39.2077549010099
11,100000,0.0933948531134867,-0.225606349617579,0.244173756935218,-67.5117839725998,42.4544458928128
12,79433,0.08252909059096,-0.184028282989981,0.201686538306382,-65.8457341163922,44.1895448884321
13,63096,0.0742148496809548,-0.149986004217146,0.167342897591121,-63.6732500452668,46.0019838838562
14,50119,0.0677872036409602,-0.122015907737611,0.139581469824952,-60.9451848280212,47.8252158792529
15,39811,0.0629013212291928,-0.0991053689217746,0.117381644056893,-57.5970567279302,49.6914848745411
16,31623,0.0591868530628588,-0.0802135634019097,0.0996860036771293,-53.5776489613664,51.5089788699523
17,25119,0.0561682116611229,-0.0645013449594686,0.0855294773910672,-48.950429294402,53.2256078656183
18,19953,0.0541810646974617,-0.0519057321972824,0.0750319452412539,-43.7713177458818,55.0535298610032
19,15849,0.0527509306423805,-0.0416242472780825,0.0671955254842478,-38.275958884391,56.828812856521
20,12589,0.0517453216622189,-0.0332761560729941,0.0615213855250413,-32.7440837543638,58.5443758521897
21,10000,0.0509675386157523,-0.0264623892363609,0.0574277636395922,-27.4383775874715,61.6593528443251
22,7943.3,0.0504986021030946,-0.0209293888103946,0.0546639564095332,-22.5117974723644,63.2861468402178
23,6309.6,0.0502860594542881,-0.0164677962994157,0.0529138553726644,-18.1327074729704,65.005045835878
24,5011.9,0.0498997305205473,-0.0127740758651055,0.0515088353608457,-14.3590615970645,66.7376108315037
25,3981.1,0.0498915751835034,-0.00984829200507264,0.0508542832975586,-11.1662846116791,68.4649118271427
26,3162.3,0.0499667644311369,-0.00747202956089128,0.0505223591440024,-8.50498733592547,70.2168788227194
27,2511.9,0.0500571232633941,-0.00552559189345032,0.0503611730917738,-6.29913382695224,72.0286698181451
28,1995.3,0.0502192591179036,-0.00392017891541426,0.0503720337993216,-4.46352947436581,73.7343868138386
29,1584.9,0.0504423929464082,-0.00259717132375322,0.0505092101011764,-2.9474348820889,75.4609378094794
30,1258.9,0.0506620992384135,-0.00150279236606027,0.05068438303993,-1.69906933535038,77.1581288051945
31,1000,0.0510663654810006,-0.000532646275924309,0.0510691432813826,-0.597600330904677,78.8727178008655
32,794.33,0.0514243028626235,0.000208569215221583,0.0514247258235216,0.232381764608346,80.7104197962258
33,630.96,0.051557449382157,0.000811894027561514,0.0515638415821171,0.90218304321695,82.422160791904
