Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.41117868989197,-1.6029374060584,2.13561083124863,-48.6402637799053,14.3775739637001
2,794330,1.00764817340753,-1.46617612329534,1.7790523505206,-55.5007102033635,17.7171739552684
3,630960,0.729701747176993,-1.27836778180359,1.47196767131163,-60.2819570846487,19.447019950901
4,501190,0.523052561203082,-1.08810520267323,1.20729321784961,-64.3263896314387,22.8823279422277
5,398110,0.377809551874436,-0.909645135472393,0.984984431336938,-67.445065588444,26.0915249341252
6,316230,0.277432380885312,-0.750980565708428,0.800587619211941,-69.7244166926213,30.5453619228804
7,251190,0.207523792739167,-0.613570535999843,0.647715159001226,-71.3132700823139,32.1696539187794
8,199530,0.162435238090475,-0.500363686369486,0.526069411019849,-72.0147893782405,34.0324289140764
9,158490,0.129939321481165,-0.406446813694361,0.426712127352018,-72.2711424367674,35.8552979094741
10,125890,0.107418574731468,-0.32985422244102,0.346904249411145,-71.9619175051803,37.5603659051692
11,100000,0.0913359842090552,-0.267310744452476,0.282484151964625,-71.1354886271177,40.7921418970097
12,79433,0.0798742886841315,-0.216542563845133,0.230804211290477,-69.7529067703042,42.5141328926621
13,63096,0.0714029710199677,-0.175299582306401,0.189283723091229,-67.8379648453325,44.3258248880881
14,50119,0.0650991886387719,-0.141770761397598,0.156002734426935,-65.3360619168055,46.153364883474
15,39811,0.0603656175554709,-0.114558996493674,0.129490429995776,-62.2134991970158,47.9797688788627
16,31623,0.0568494282877378,-0.0925010544746898,0.108573949801839,-58.4258893255538,49.7930098742847
17,25119,0.0539527778416772,-0.0742459798304381,0.0917789069329941,-53.9949919088394,51.6106118696957
18,19953,0.0519951997410045,-0.059712625379008,0.0791776384199523,-48.9520458423374,53.3723668652477
19,15849,0.0506169223764632,-0.0479722249196626,0.0697381330020212,-43.4633839019003,55.1022258608803
20,12589,0.0495951226210231,-0.0384522390819919,0.062755484845653,-37.7872444414404,56.9255928562767
21,10000,0.0487046650551379,-0.0307095154903612,0.0575779362237473,-32.2324617430051,60.0647088483512
22,7943.3,0.0482342241686583,-0.024484547653948,0.0540928225827681,-26.9131574504687,61.6826628442662
23,6309.6,0.0479335482594172,-0.0194740663555219,0.0517384219817067,-22.1105383201828,63.4004858399292
24,5011.9,0.0474923997208212,-0.015352981920206,0.0499123440151275,-17.9145882471325,65.2446568352731
25,3981.1,0.0473942466846368,-0.0121210234196624,0.0489196670833338,-14.3458301878248,66.945428830979
26,3162.3,0.0473659042581981,-0.00952619415472993,0.0483143587484135,-11.371579863599,68.6580218266552
27,2511.9,0.047355215930324,-0.00743313051314635,0.0479350383856431,-8.92066743173929,70.4555138221169
28,1995.3,0.0473675697615151,-0.00573400547786787,0.0477133679793433,-6.90226470156888,72.2289538176394
29,1584.9,0.0474006767563118,-0.0043619921454667,0.0476009572638353,-5.25776922798213,73.9095898133962
30,1258.9,0.0474422506227073,-0.0032581406979731,0.0475539969398531,-3.92867233535722,75.6186778090812
31,1000,0.0476599707961313,-0.00230772018318108,0.0477158085830257,-2.77212586783436,77.3420408047301
32,794.33,0.0477760083682154,-0.00161611501792895,0.0478033346467687,-1.93740077778636,79.1875898000706
33,630.96,0.0476992760791845,-0.00106831214316792,0.0477112379771632,-1.2830288105461,80.8947667957603
34,501.19,0.0478678154969208,-0.000635454462069376,0.0478720332012399,-0.760567822259641,82.6278087913848
35,398.11,0.048029348227676,-0.000291541415809487,0.0480302330576534,-0.347785013578755,84.3497137870374
36,316.23,0.0481711070545358,-2.13810777674434E-05,0.0481711117996049,-0.0254311248375567,86.0773127826757
37,251.19,0.0483072193880988,0.000190815967413521,0.0483075962530048,0.226320058856815,87.8200747782756
38,199.53,0.0484713873938552,0.000361409177158093,0.0484727347328219,0.427197114062588,89.5569667738904
39,158.49,0.0486284010497361,0.000501418515630992,0.0486309861012687,0.590768891943868,91.3321057694086
40,125.89,0.0487434515002947,0.000624556322603307,0.0487474525976659,0.734098266022328,93.1194037648961
41,100,0.0488691761539493,0.000736228047811852,0.0488747215818578,0.863111931632297,94.9010497603979
42,79.433,0.0490329206779531,0.00083635659633096,0.0490400530440849,0.977201765477901,96.7188257558084
43,63.096,0.0491700986066103,0.000935269773155529,0.049178992736049,1.08969782428002,98.6110037510311
44,50.119,0.0492916276319589,0.00103080702553045,0.0493024047864967,1.1980185574627,100.678277745812
45,39.811,0.049464752114775,0.00112724851403006,0.049477594838356,1.30548324504332,102.622346740903
46,31.623,0.0496416395161628,0.0012163745722548,0.0496565397601634,1.40364393731553,104.702676735651
47,25.119,0.0498511862906784,0.00129709532929948,0.0498680582224856,1.49046249564528,106.767585730438
48,19.953,0.0501081053733102,0.0013531886848156,0.0501263737339883,1.54691861522335,109.092266724569
49,15.849,0.0503083119315542,0.00139313819233682,0.050327597632169,1.58622982022412,111.449795718616
