Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.12663189725658,-1.25362996865334,1.68549326021249,-48.054101187503,14.3546699637579
2,794330,0.80649526524074,-1.14961191665864,1.40429418989729,-54.9489203726079,16.1905849591227
3,630960,0.587245517616504,-1.00010865711742,1.1597735227198,-59.5793231596647,19.6412589504106
4,501190,0.425043545454143,-0.852069337139061,0.952199648616206,-63.4882905750339,22.9488889420596
5,398110,0.310709987486665,-0.712906834154459,0.777674000149225,-66.450726489453,27.5847989303551
6,316230,0.231362648008069,-0.588615400691166,0.632452974397408,-68.5420708380762,30.744756922377
7,251190,0.176074522119871,-0.481841018987266,0.513003903414417,-69.9266669917992,33.8446579145505
8,199530,0.140178274352311,-0.393157451671906,0.417399964549039,-70.3765677874187,35.5704109101933
9,158490,0.114368055972047,-0.319846302572481,0.339678832864387,-70.3243764389865,37.4093169055506
10,125890,0.0962847463177022,-0.259645963697753,0.27692377802926,-69.6536631828175,39.1165499012402
11,100000,0.083330483736228,-0.210522437441144,0.226414809996771,-68.4049988252976,42.3414748930981
12,79433,0.0740358399443867,-0.170595652933105,0.185968229533819,-66.5399120628512,43.9929138889286
13,63096,0.067237957741691,-0.138185015338467,0.15367511648073,-64.0534080000215,45.8033398843577
14,50119,0.0621935038070854,-0.11182246313795,0.127954269870294,-60.9180295767321,47.6256468797568
15,39811,0.0584117764535149,-0.0903660449759291,0.107600918737003,-57.1217460876467,49.4614388751219
16,31623,0.055309765125902,-0.0725895788833545,0.091260161520486,-52.6943441352396,51.1827698707759
17,25119,0.0532356009123337,-0.0584439055282683,0.0790551661682803,-47.6701211435672,53.003522866179
18,19953,0.0516928485971411,-0.0469206841738319,0.0698118986951898,-42.2294701046508,54.8207778615908
19,15849,0.0506205748904296,-0.0376035406601112,0.0630592489046153,-36.6068450793623,56.6023098570929
20,12589,0.0498297852594646,-0.0300212701693167,0.0581746006568456,-31.0679718829924,58.3231818527481
21,10000,0.0492302565281261,-0.0238255177855537,0.0546925356476991,-25.8251656354586,61.4624828448221
22,7943.3,0.048879717427206,-0.0188287763227143,0.0523808132198644,-21.0670003851119,63.1340928406017
23,6309.6,0.0487069590398701,-0.0147928093823391,0.0509037824560592,-16.8940807693745,64.8594478362456
24,5011.9,0.0483881120630673,-0.0114639098445317,0.0497275639655867,-13.3285310757899,66.6015098318474
25,3981.1,0.0483878177867912,-0.00881976511479858,0.0491850502373224,-10.3300380908071,68.3393128274598
26,3162.3,0.0484708539885684,-0.00667243742826987,0.0489279583430097,-7.83800354684792,70.0587488231187
27,2511.9,0.0485754078664791,-0.00491346842511296,0.0488232774540933,-5.77590041680624,71.7953608187341
28,1995.3,0.048710489272897,-0.00345484416001191,0.0488328548558753,-4.05697138491179,73.5068928144129
29,1584.9,0.0488788059892717,-0.00224563984309401,0.0489303645320751,-2.63049126696671,75.2494508100134
30,1258.9,0.0491233375107829,-0.00124644677030331,0.0491391485248726,-1.45350096767958,76.9508068057179
31,1000,0.0495583924635803,-0.000362988080715083,0.0495597217901896,-0.419652698591435,78.6713878013738
32,794.33,0.0498937961259031,0.000318353891362498,0.0498948117648852,0.365578253264753,80.4797127968083
33,630.96,0.0500299753441492,0.000875701670734671,0.0500376386968081,1.00277656424443,82.2135877924306
34,501.19,0.05041875078927,0.00134567786098319,0.0504367056820333,1.52886298546441,83.9439677880619
35,398.11,0.0508234241294418,0.0017361610311835,0.0508530696749697,1.95650006708718,85.6507217837527
36,316.23,0.0512813182771314,0.00206160807704436,0.0513227418607364,2.30216132606782,87.394123779351
37,251.19,0.0517367616597608,0.00232515347529054,0.0517889838259311,2.57325530791687,89.2076857747722
38,199.53,0.052205670619674,0.00254015870940861,0.0522674320310351,2.78562998697747,90.9396927703993
39,158.49,0.0527136080005478,0.0027135106877774,0.0527834027767072,2.94678373579605,92.6808457660034
40,125.89,0.0532044802307062,0.00285366446958818,0.0532809545477988,3.07016272511226,94.5228977613526
41,100,0.0536956530791175,0.00297320428532,0.0537779053451805,3.16931199370734,96.3038427568562
42,79.433,0.0541227880890358,0.00305880110906282,0.0542091547135304,3.23468476266316,98.1359817522305
43,63.096,0.0545685833267548,0.00314681801157235,0.0546592421268987,3.30043251099796,99.998924747527
44,50.119,0.0549894924745503,0.0032466607327068,0.0550852529132972,3.37890479377464,102.093570742239
45,39.811,0.0553855646617442,0.00337766920957699,0.055488462063654,3.48984088624419,104.035831737335
46,31.623,0.0557688745371174,0.00355420616476263,0.0558820163254546,3.64658564249116,106.07359773219
47,25.119,0.0561745679313699,0.00379342614416619,0.0563025058428782,3.86327540488207,108.174932726885
48,19.953,0.0566047192583326,0.00409489531132935,0.0567526423166833,4.13768001280392,110.475537721076
49,15.849,0.0570554467595291,0.00449815483762548,0.0572324855468703,4.5077783610303,112.816446715166
50,12.589,0.0575534235500701,0.00499127034455078,0.057769449902056,4.95652508441706,115.298878708898
51,10,0.0581260082817447,0.0055844956046914,0.0583936591585787,5.487886798357,117.992635702097
52,7.9433,0.0588091410147309,0.00627944704327402,0.05914344022848,6.09476260166294,120.766786695093
53,6.3096,0.0596711327665441,0.00706527860676033,0.0600879542623451,6.75258948288809,123.597324687947
54,5.0119,0.0606819771009693,0.00792083191968638,0.0611967476519993,7.43678468188049,126.399122680873
55,3.9811,0.0618756078275314,0.00881253851100448,0.0625000134322737,8.1057499654483,129.219762673751
56,3.1623,0.063268820736116,0.00971053164584062,0.064009671942478,8.72569636229998,132.150735666351
57,2.5119,0.0648933734097402,0.0105604091884322,0.0657470315278423,9.24299187888082,135.15754765876
58,1.9953,0.0666823452969225,0.0113260964882794,0.067637383420412,9.63977577365329,138.229801651003
59,1.5849,0.0686313175014799,0.0119545064349585,0.0696646823440142,9.88089866805606,141.353483643117
60,1.2589,0.0707111485967395,0.0124340265284811,0.0717960413364216,9.97307718439146,144.694308634682
61,1,0.0728227192092562,0.0127720218286302,0.073934247643573,9.94765454041283,148.35862462543
62,0.79433,0.0749908415978739,0.0129337575676223,0.0760980184260763,9.78559909020221,152.025600616172
63,0.63096,0.0770710671955317,0.0129821513827516,0.078156801707739,9.5613696045417,155.91581960635
64,0.50119,0.0791021121341742,0.0129579415344438,0.0801564245266562,9.30315591017863,160.182145595579
65,0.39811,0.0810119335416755,0.0129200473822396,0.0820357300236925,9.06140667981614,164.900133583667
66,0.31623,0.0828785450311341,0.0128643926027686,0.083871007049611,8.82303168368904,170.026271570725
67,0.25119,0.084800301512029,0.0128863145932909,0.0857738202502855,8.64060262671855,175.856875556004
68,0.19953,0.0863457309150691,0.0128049072209767,0.0872900389288225,8.4353755286481,182.539104539133
69,0.15849,0.087955815189114,0.0130246208815736,0.0889149378602398,8.42322713431656,190.296149519548
70,0.12589,0.0895763005991576,0.013327553121396,0.0905623393096394,8.46263546812916,199.227553496999
71,0.1,0.0913441642752206,0.0137295400168241,0.0923702149841174,8.54788950276665,209.846318470189
