Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.13695232871135,-1.28593526684796,1.716476072739,-48.5186773051794,14.7687179627126
2,794330,0.814117196863284,-1.17366021441347,1.42837848945075,-55.2526322069078,16.6241379580281
3,630960,0.594303386780221,-1.0182165961738,1.17896630666962,-59.7291346899963,20.0784689493067
4,501190,0.431651789520937,-0.864933152677108,0.966660553657067,-63.4781442392532,24.7977959373916
5,398110,0.317654794712092,-0.721645624803894,0.788464949380874,-66.2418108550878,28.0184989292601
6,316230,0.239353987568888,-0.595865185774913,0.642141457144529,-68.1150905588029,32.4609839180439
7,251190,0.18449829754051,-0.486848746439721,0.520635499851167,-69.2450800705182,35.5954019101302
8,199530,0.149211116348512,-0.397245566282205,0.424344196582019,-69.4131034163682,37.3205919057746
9,158490,0.123775597804735,-0.323518319920355,0.346387791262926,-69.06353731099,39.1639499011205
10,125890,0.10573170636964,-0.262958490665844,0.283419056425453,-68.0956725767089,40.8707748968112
11,100000,0.0926348941212788,-0.213809727206824,0.233014641293454,-66.5749142810585,44.1865798884396
12,79433,0.083018424867641,-0.17382499129041,0.192632257071901,-64.4709640043841,45.8471558842471
13,63096,0.0757059683745821,-0.141093827569359,0.160121397151365,-61.7835631626616,47.668351879649
14,50119,0.0701951822871774,-0.114443417477443,0.1342559474297,-58.4766515038255,49.5269248749565
15,39811,0.0660134152758565,-0.0926259536463047,0.113742420781651,-54.5229799158437,51.2576358705869
16,31623,0.0628612351550349,-0.0747472625670687,0.0976662078023249,-49.9367089871355,53.0915258659568
17,25119,0.0602686546553743,-0.0599231076457739,0.0849887613975859,-44.8352771409008,54.9199918613404
18,19953,0.0586255587601305,-0.0480805451257868,0.0758201487701675,-39.3561860037627,56.7361068567551
19,15849,0.0574622907192001,-0.038423222933207,0.0691249514666939,-33.7693989608096,58.4759958523623
20,12589,0.0566359686063438,-0.0305515346281437,0.064350829117529,-28.3440637025787,60.2974908477635
21,10000,0.0560550662897816,-0.024151157774304,0.0610364553245938,-23.3086494018554,63.4497068398049
22,7943.3,0.0557201701564309,-0.0189251545421181,0.0588464003716852,-18.7598702176121,65.1331358355546
23,6309.6,0.0556264491488915,-0.0147014566905498,0.0575363769604788,-14.8041542661995,66.8555058312061
24,5011.9,0.0553539118694443,-0.0112032175922332,0.0564762573447385,-11.4416804429965,68.6686358266284
25,3981.1,0.0554776353465156,-0.00841332893615504,0.0561119606450256,-8.62334781894227,70.3930058222747
26,3162.3,0.0556891912821798,-0.0061339382775522,0.056025987045799,-6.28556009224908,72.1482878178431
27,2511.9,0.0559059403169226,-0.0042473535395071,0.0560670507054623,-4.34459800424087,73.877218813478
28,1995.3,0.0561665366331841,-0.00268551542051762,0.0562307018490846,-2.73742364816657,75.6078568091085
29,1584.9,0.0565136119888869,-0.00139091408904973,0.0565307259995269,-1.40988017794595,77.3188318047887
30,1258.9,0.0568758632033466,-0.00031358360719112,0.0568767276643487,-0.315895604070953,79.0212958004904
31,1000,0.0574300747870543,0.000632139796146819,0.0574335537013732,0.630636124005693,80.7517077961215
32,794.33,0.0579195472367332,0.00137465427993065,0.0579358578645169,1.35959461927407,82.579437791507
33,630.96,0.0582147272453011,0.00197864670150496,0.0582483434186259,1.94666341483871,84.3434077870534
34,501.19,0.0587774579205389,0.00249852340483436,0.058830537808227,2.43407456125808,86.0751067826812
35,398.11,0.0594108332583478,0.00293340459115583,0.0594832074702316,2.82667845660282,87.786243778361
36,316.23,0.0600708376726249,0.00329163682234642,0.0601609542116902,3.13643831756542,89.5127277740021
37,251.19,0.0607453914319214,0.0035812542728713,0.0608508665705289,3.37397647771561,91.2850527695274
38,199.53,0.0614250243483293,0.00380980176877801,0.0615430597688337,3.54914465432549,93.0265617651305
39,158.49,0.0621170466501344,0.00398300366698123,0.0622446126403415,3.66883683276894,94.7870507606857
40,125.89,0.0628140702318819,0.00410829874696253,0.0629482766856257,3.74205010546543,96.7712357556761
41,100,0.0635389388738391,0.00420374265961758,0.0636778470550139,3.78517825711376,98.5487347511884
42,79.433,0.0641901811212384,0.0042454158970023,0.0643304197756855,3.78392250216477,100.365482746602
43,63.096,0.0648741305900245,0.00426680031675331,0.065014293849542,3.7629491923297,102.222346741913
44,50.119,0.0654375978205996,0.00427089975839313,0.065576823598561,3.73421342438432,104.314280736632
45,39.811,0.0660376815070207,0.00428228025556967,0.0661763802501311,3.71020811537513,106.270404731693
46,31.623,0.066599265684139,0.00431700662481412,0.0667390345739674,3.70876017629805,108.304586726557
47,25.119,0.0671046452796143,0.00440026534047941,0.0672487602351856,3.75169568596738,110.4264167212
48,19.953,0.0676004918915629,0.00453780066913805,0.0677526245904474,3.84031767504468,112.731980715379
49,15.849,0.0680786536411966,0.00477156084160894,0.0682456656093498,4.00924409125851,115.074040709466
50,12.589,0.0685683860133257,0.00511853531698221,0.0687591664017507,4.26913276440879,117.553268703207
51,10,0.0690762209415555,0.00559035550369874,0.0693020661612937,4.6268775120846,120.257556696379
52,7.9433,0.0696446800586001,0.00620313718566743,0.0699203859500859,5.08980982071365,122.961969689551
53,6.3096,0.0703579461673614,0.00696272594863649,0.0707016275733815,5.65167299322215,125.776931682444
54,5.0119,0.0712114506846213,0.00786901056218839,0.0716449023715999,6.30571780927542,128.572325675386
55,3.9811,0.0722279865243451,0.00888995810441566,0.0727730265445875,7.01678287263942,131.412170668216
56,3.1623,0.073531287941905,0.0100191040082448,0.0742107320508521,7.75913040738959,134.360274660773
57,2.5119,0.0750749602205281,0.0111827565066381,0.0759032522043729,8.47217455633805,137.295553653362
58,1.9953,0.0769680520969841,0.0123295506538514,0.0779493352308404,9.10091893559094,140.35822564563
59,1.5849,0.0791288162963698,0.0133482287262941,0.0802467742566273,9.5750723724286,143.49504863771
60,1.2589,0.081560282881894,0.0141814914474587,0.0827840228754855,9.86382569959641,146.80207262936
61,1,0.0841173214517568,0.014754141089558,0.0854014545983191,9.94845677840967,150.524889619961
62,0.79433,0.0868048779369587,0.0150600452343413,0.0881015992823666,9.84244930994728,154.219253610634
63,0.63096,0.0894306889267397,0.0150841390292331,0.0906938772584154,9.57388184379998,158.08645760087
64,0.50119,0.0918919377849312,0.0149572820093873,0.0931012809524016,9.24497647795475,162.3523345901
65,0.39811,0.0942591781782989,0.0146198632439803,0.095386231040549,8.81648517982358,167.067447578195
66,0.31623,0.0963745310116764,0.0142846605374051,0.0974274178780772,8.43101339990859,172.263298565077
67,0.25119,0.0982962414341856,0.0140656992144229,0.0992975073930777,8.14345672510321,178.105337550327
68,0.19953,0.100206095959347,0.0137894406890204,0.101150434215231,7.83530680117266,184.711094533649
69,0.15849,0.101839471003648,0.0137440893995564,0.102762725964845,7.68610544247374,192.408030514216
70,0.12589,0.103907776924861,0.0139998856454616,0.1048466637693,7.67346593945253,201.391173491536
71,0.1,0.105606215520006,0.014556562808136,0.106604719770024,7.84808933889244,212.003699464742
