Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.40826971425667,-1.37401156441031,1.96751908941841,-44.2945543540437,19.049355951905
2,794330,1.05449277142452,-1.28327367803612,1.66094742172259,-50.5893405346846,20.9250239471694
3,630960,0.803738352387056,-1.14336589091201,1.39759826116051,-54.8943871052917,24.3486909385255
4,501190,0.608242236170761,-0.994567844590339,1.16581465737701,-58.5515307199605,27.6847909301026
5,398110,0.464620981439072,-0.850353937622897,0.969006953341498,-61.3484515794004,32.2856079184867
6,316230,0.359640144917261,-0.717481535479005,0.802571359811338,-63.3775205304017,35.4258309105584
7,251190,0.281894755686873,-0.599610024351307,0.66256836219845,-64.8203675636633,38.5412739026926
8,199530,0.227804354295595,-0.499561921475681,0.54905094228542,-65.4866231857293,40.2896038982785
9,158490,0.18613560697181,-0.414673029191494,0.454532930953978,-65.8259664984876,42.1117488936781
10,125890,0.154788975347894,-0.342837426672479,0.376161040003691,-65.7011186817456,43.8191648893672
11,100000,0.131183729214671,-0.28233147551667,0.311320145313611,-65.078328408609,47.0760868811443
12,79433,0.113581227938944,-0.231519008255145,0.257879325506262,-63.8678294759106,48.79280787681
13,63096,0.100479715764801,-0.18908759290885,0.214126810727284,-62.0141614920843,50.6185338722005
14,50119,0.0909108433309316,-0.154082398004898,0.178902674127809,-59.4587804563504,52.5199818673998
15,39811,0.0839034140646807,-0.125247453812831,0.150753797890158,-56.1818236905645,54.3506918627777
16,31623,0.0787252628948635,-0.10160601234571,0.128535787867279,-52.2311497891348,56.0684558584408
17,25119,0.074894250206971,-0.0823231523230039,0.111293531359468,-47.7053517145956,57.8959378538268
18,19953,0.0720130025664993,-0.0665873931356749,0.0980803418797444,-42.7582612386556,59.6395938494245
19,15849,0.0694750603099614,-0.0534914627019011,0.0876819285090243,-37.5940273644258,61.4525908448471
20,12589,0.0678418318619887,-0.0429889178080285,0.0803153858528723,-32.3609581992742,63.2598948402841
21,10000,0.0666515811486135,-0.0343603641952013,0.0749871182086435,-27.2721064832351,66.5320378320228
22,7943.3,0.0658587197390814,-0.0273097346064871,0.0712965116253778,-22.5223921905804,68.1429838279555
23,6309.6,0.0654053643546331,-0.0215742507332918,0.0688716921606058,-18.2553693853713,69.8653898236068
24,5011.9,0.0648221225304891,-0.0168169230587675,0.0669680257326006,-14.5437205102285,71.6741018190403
25,3981.1,0.0647725110538881,-0.013047860162627,0.0660736319801593,-11.3893157901373,73.38131781473
26,3162.3,0.0647881856453279,-0.00997755493043381,0.065551968708829,-8.75492359737329,75.0923368104101
27,2511.9,0.0648779590685023,-0.00746869790956526,0.0653064393559977,-6.56693609430281,76.9134508058122
28,1995.3,0.0650455817411557,-0.00543785416635054,0.0652724900856392,-4.77885293847367,78.6286148014818
29,1584.9,0.0652269763005707,-0.00379580625584565,0.0653373291652416,-3.33050348230426,80.3144187972256
30,1258.9,0.0654986986473532,-0.00247259524092839,0.0655453526325265,-2.16190604161079,82.0199117929196
31,1000,0.0660133527030141,-0.00134378844128899,0.0660270285751789,-1.16616973546629,83.7509527885492
32,794.33,0.0663821626778873,-0.000502718597600719,0.0663840662191001,-0.433898236138586,85.5739837839465
33,630.96,0.0664303265887864,0.000165593799959775,0.0664305329799439,0.142823416454077,87.2853667796256
34,501.19,0.0668181001821651,0.000711491438492572,0.0668218881207416,0.610072957245125,89.008150775276
35,398.11,0.0672310179241195,0.00115439180970166,0.0672409279498996,0.98370189336612,90.7662977708371
36,316.23,0.0676347028494813,0.00151447424761689,0.0676516567556503,1.28275102290181,92.509104766437
37,251.19,0.0680483629323508,0.00181403546828938,0.0680725379463198,1.52703109036422,94.2646357620047
38,199.53,0.0684328252053486,0.00206803283158506,0.068464065942495,1.73094567786694,95.9962947576327
39,158.49,0.0688714836296466,0.00228341225226674,0.0689093261385023,1.89892786000446,97.7681447531592
40,125.89,0.0693255024420696,0.00246938879985034,0.0693694685714848,2.04002506753085,99.5597927486357
41,100,0.0697661175930851,0.00263573602747655,0.0698158883666083,2.16358267322193,101.333807744157
42,79.433,0.0701865284411228,0.00276019712315793,0.0702407820484313,2.25208733757593,103.172735739514
43,63.096,0.0706297871596704,0.00286259483092754,0.0706877732241326,2.32090299707067,105.03564973481
44,50.119,0.0710966799651935,0.00295413740145353,0.0711580271639104,2.37932767080803,107.109512729574
45,39.811,0.0714541460112085,0.00303537856559993,0.07151858852933,2.43246740731069,109.073130724617
46,31.623,0.0719196845393679,0.00312963347289009,0.0719877463872625,2.49169242983167,111.096488719508
47,25.119,0.0723012755424083,0.0032439929291706,0.0723740142259897,2.56900765446916,113.181082714245
48,19.953,0.072625710575196,0.00338029864226349,0.0727043345025799,2.66485750235386,115.475937708451
49,15.849,0.0730129912574595,0.00358546799553858,0.0731009745017731,2.81138032968988,117.816568702542
50,12.589,0.073341096557728,0.00386332015274916,0.0734427783168135,3.01532915143126,120.274289696337
51,10,0.0736956699422407,0.00423709414771385,0.0738173742085985,3.29056839825571,123.005255689442
52,7.9433,0.0740773658834767,0.00473246808996856,0.0742283799530681,3.6554007917962,125.704862682626
53,6.3096,0.0744647310105333,0.00537122121466077,0.0746581956774198,4.12566103659021,128.515561675529
54,5.0119,0.0749157642418171,0.00618130937976918,0.0751703420078953,4.71679766562333,131.285808668535
55,3.9811,0.0754796882372439,0.00717884250921917,0.0758203080722025,5.43303554873776,134.111278661402
56,3.1623,0.0761686933146185,0.00839143370269638,0.0766295373915513,6.28686920029955,136.961352654206
57,2.5119,0.0770430885496959,0.0098369735118673,0.0776685492406641,7.27623841687966,139.90247764678
58,1.9953,0.0781794163464625,0.0115160544943109,0.0790230387380127,8.37957398042808,142.973526639027
59,1.5849,0.0796913858966798,0.0134170566362828,0.0808129593253134,9.55684512917939,146.099949631133
60,1.2589,0.08153388551486,0.0155220823332755,0.0829982501448752,10.7787496718655,149.43623862271
61,1,0.0839181981603236,0.0177267777580913,0.085770056734038,11.9277411212492,153.07993461351
62,0.79433,0.0869013111042504,0.0199168875960561,0.0891544742744392,12.908663890299,156.731267604292
63,0.63096,0.0904306973393522,0.0219644222970602,0.0930599101016389,13.652023474647,160.634115594438
64,0.50119,0.0945176624285378,0.0237406395554704,0.0974536119261764,14.0996828026234,164.873242583735
65,0.39811,0.0990042498511439,0.0249663028802812,0.102103661874086,14.1534200898283,169.570281571876
66,0.31623,0.104201802455689,0.0257288809710984,0.107331220765625,13.8697076137802,174.772682558741
67,0.25119,0.108918824213156,0.0259428611356934,0.111965808673373,13.3973801498118,180.59947254403
68,0.19953,0.113477466972903,0.0253366721420983,0.116271589246138,12.5862715551419,187.284729527152
69,0.15849,0.117643139323242,0.0245149495969024,0.120170258315302,11.7710719047073,194.981687507719
70,0.12589,0.121390154558198,0.0235847741774388,0.123660063062672,10.9949598681631,203.913984485167
71,0.1,0.124999374339889,0.0225707996644286,0.127020803740393,10.2354544861193,214.494917458452
